"","Unadjusted_p","FDR","Pathway"
"ARGORNPROST.PWY:arginine..ornithine.and.proline.interconversion",0.114579078072978,0.25136597148981,"ARGORNPROST.PWY:arginine..ornithine.and.proline.interconversion"
"COA.PWY.1:coenzyme.A.biosynthesis.II.(mammalian)",0.114736249473043,0.25136597148981,"COA.PWY.1:coenzyme.A.biosynthesis.II.(mammalian)"
"FAO.PWY:fatty.acid.&beta;.oxidation.I",0.115185749102868,0.25136597148981,"FAO.PWY:fatty.acid.&beta;.oxidation.I"
"PWY.5136:fatty.acid.&beta;.oxidation.II.(peroxisome)",0.115185749102868,0.25136597148981,"PWY.5136:fatty.acid.&beta;.oxidation.II.(peroxisome)"
"PWY.5083:NAD/NADH.phosphorylation.and.dephosphorylation",0.115185749102868,0.25136597148981,"PWY.5083:NAD/NADH.phosphorylation.and.dephosphorylation"
"PWY.6305:superpathway.of.putrescine.biosynthesis",0.120436249015983,0.25136597148981,"PWY.6305:superpathway.of.putrescine.biosynthesis"
"PWY1ZNC.1:assimilatory.sulfate.reduction.IV",0.120436249015983,0.25136597148981,"PWY1ZNC.1:assimilatory.sulfate.reduction.IV"
"PWY.6470:peptidoglycan.biosynthesis.V.(&beta;.lactam.resistance)",0.120436249015983,0.25136597148981,"PWY.6470:peptidoglycan.biosynthesis.V.(&beta;.lactam.resistance)"
"PWY4LZ.257:superpathway.of.fermentation.(Chlamydomonas.reinhardtii)",0.120436249015983,0.25136597148981,"PWY4LZ.257:superpathway.of.fermentation.(Chlamydomonas.reinhardtii)"
"SO4ASSIM.PWY:assimilatory.sulfate.reduction.I",0.120436249015983,0.25136597148981,"SO4ASSIM.PWY:assimilatory.sulfate.reduction.I"
"COBALSYN.PWY:superpathway.of.adenosylcobalamin.salvage.from.cobinamide.I",0.120436249015983,0.25136597148981,"COBALSYN.PWY:superpathway.of.adenosylcobalamin.salvage.from.cobinamide.I"
"PWY.4321:L.glutamate.degradation.IV",0.120436249015983,0.25136597148981,"PWY.4321:L.glutamate.degradation.IV"
"HEMESYN2.PWY:heme.biosynthesis.II.(anaerobic)",0.120436249015983,0.25136597148981,"HEMESYN2.PWY:heme.biosynthesis.II.(anaerobic)"
"PWY.922:mevalonate.pathway.I",0.120436249015983,0.25136597148981,"PWY.922:mevalonate.pathway.I"
"PWY.7883:anhydromuropeptides.recycling.II",0.120436249015983,0.25136597148981,"PWY.7883:anhydromuropeptides.recycling.II"
"PWY.7209:superpathway.of.pyrimidine.ribonucleosides.degradation",0.120436249015983,0.25136597148981,"PWY.7209:superpathway.of.pyrimidine.ribonucleosides.degradation"
"ILEUSYN.PWY:L.isoleucine.biosynthesis.I.(from.threonine)",0.121525533290239,0.25136597148981,"ILEUSYN.PWY:L.isoleucine.biosynthesis.I.(from.threonine)"
"PWY.7111:pyruvate.fermentation.to.isobutanol.(engineered)",0.121525533290239,0.25136597148981,"PWY.7111:pyruvate.fermentation.to.isobutanol.(engineered)"
"PWY.6126:superpathway.of.adenosine.nucleotides.de.novo.biosynthesis.II",0.121525533290239,0.25136597148981,"PWY.6126:superpathway.of.adenosine.nucleotides.de.novo.biosynthesis.II"
"PWY0.1241:ADP.L.glycero.&beta;.D.manno.heptose.biosynthesis",0.121525533290239,0.25136597148981,"PWY0.1241:ADP.L.glycero.&beta;.D.manno.heptose.biosynthesis"
"PWY0.166:superpathway.of.pyrimidine.deoxyribonucleotides.de.novo.biosynthesis.(E..coli)",0.121525533290239,0.25136597148981,"PWY0.166:superpathway.of.pyrimidine.deoxyribonucleotides.de.novo.biosynthesis.(E..coli)"
"PWY.7328:superpathway.of.UDP.glucose.derived.O.antigen.building.blocks.biosynthesis",0.123889676179734,0.254914359888143,"PWY.7328:superpathway.of.UDP.glucose.derived.O.antigen.building.blocks.biosynthesis"
"POLYISOPRENSYN.PWY:polyisoprenoid.biosynthesis.(E..coli)",0.131033007999863,0.266818508517855,"POLYISOPRENSYN.PWY:polyisoprenoid.biosynthesis.(E..coli)"
"PWY.6628:superpathway.of.L.phenylalanine.biosynthesis",0.131033007999863,0.266818508517855,"PWY.6628:superpathway.of.L.phenylalanine.biosynthesis"
"PYRIDNUCSYN.PWY:NAD.biosynthesis.I.(from.aspartate)",0.140078408683914,0.282311869809118,"PYRIDNUCSYN.PWY:NAD.biosynthesis.I.(from.aspartate)"
"NONOXIPENT.PWY:pentose.phosphate.pathway.(non.oxidative.branch)",0.140078408683914,0.282311869809118,"NONOXIPENT.PWY:pentose.phosphate.pathway.(non.oxidative.branch)"
"GLCMANNANAUT.PWY:superpathway.of.N.acetylglucosamine..N.acetylmannosamine.and.N.acetylneuraminate.degradation",0.144045674388723,0.288826275687592,"GLCMANNANAUT.PWY:superpathway.of.N.acetylglucosamine..N.acetylmannosamine.and.N.acetylneuraminate.degradation"
"VALSYN.PWY:L.valine.biosynthesis",0.148998060762767,0.294252451657122,"VALSYN.PWY:L.valine.biosynthesis"
"PWY.5188:tetrapyrrole.biosynthesis.I.(from.glutamate)",0.148998060762767,0.294252451657122,"PWY.5188:tetrapyrrole.biosynthesis.I.(from.glutamate)"
"PWY.7383:anaerobic.energy.metabolism.(invertebrates..cytosol)",0.148998060762767,0.294252451657122,"PWY.7383:anaerobic.energy.metabolism.(invertebrates..cytosol)"
"PWY.6168:flavin.biosynthesis.III.(fungi)",0.169522244470784,0.33311121038509,"PWY.6168:flavin.biosynthesis.III.(fungi)"
"PWY.7539:6.hydroxymethyl.dihydropterin.diphosphate.biosynthesis.III.(Chlamydia)",0.173736814362607,0.338012713091606,"PWY.7539:6.hydroxymethyl.dihydropterin.diphosphate.biosynthesis.III.(Chlamydia)"
"PPGPPMET.PWY:ppGpp.biosynthesis",0.173736814362607,0.338012713091606,"PPGPPMET.PWY:ppGpp.biosynthesis"
"PWY.6121:5.aminoimidazole.ribonucleotide.biosynthesis.I",0.180187459599224,0.345432544499976,"PWY.6121:5.aminoimidazole.ribonucleotide.biosynthesis.I"
"PWY.7220:adenosine.deoxyribonucleotides.de.novo.biosynthesis.II",0.180187459599224,0.345432544499976,"PWY.7220:adenosine.deoxyribonucleotides.de.novo.biosynthesis.II"
"PWY.7222:guanosine.deoxyribonucleotides.de.novo.biosynthesis.II",0.180187459599224,0.345432544499976,"PWY.7222:guanosine.deoxyribonucleotides.de.novo.biosynthesis.II"
"GLUCUROCAT.PWY:superpathway.of.&beta;.D.glucuronide.and.D.glucuronate.degradation",0.181711321947793,0.346662861774188,"GLUCUROCAT.PWY:superpathway.of.&beta;.D.glucuronide.and.D.glucuronate.degradation"
"PWY.5265:peptidoglycan.biosynthesis.II.(staphylococci)",0.199009779710587,0.352301096514687,"PWY.5265:peptidoglycan.biosynthesis.II.(staphylococci)"
"COBALSYN.PWY:adenosylcobalamin.salvage.from.cobinamide.I",0.199009779710587,0.352301096514687,"COBALSYN.PWY:adenosylcobalamin.salvage.from.cobinamide.I"
"P161.PWY:acetylene.degradation.(anaerobic)",0.199009779710587,0.352301096514687,"P161.PWY:acetylene.degradation.(anaerobic)"
"TEICHOICACID.PWY:teichoic.acid.(poly.glycerol).biosynthesis",0.199009779710587,0.352301096514687,"TEICHOICACID.PWY:teichoic.acid.(poly.glycerol).biosynthesis"
"P441.PWY:superpathway.of.N.acetylneuraminate.degradation",0.199009779710587,0.352301096514687,"P441.PWY:superpathway.of.N.acetylneuraminate.degradation"
"FUC.RHAMCAT.PWY:superpathway.of.fucose.and.rhamnose.degradation",0.199009779710587,0.352301096514687,"FUC.RHAMCAT.PWY:superpathway.of.fucose.and.rhamnose.degradation"
"PWY.7332:superpathway.of.UDP.N.acetylglucosamine.derived.O.antigen.building.blocks.biosynthesis",0.199009779710587,0.352301096514687,"PWY.7332:superpathway.of.UDP.N.acetylglucosamine.derived.O.antigen.building.blocks.biosynthesis"
"PWY.6607:guanosine.nucleotides.degradation.I",0.199009779710587,0.352301096514687,"PWY.6607:guanosine.nucleotides.degradation.I"
"POLYAMINSYN3.PWY:superpathway.of.polyamine.biosynthesis.II",0.199009779710587,0.352301096514687,"POLYAMINSYN3.PWY:superpathway.of.polyamine.biosynthesis.II"
"GLYCOLYSIS.TCA.GLYOX.BYPASS:superpathway.of.glycolysis..pyruvate.dehydrogenase..TCA..and.glyoxylate.bypass",0.199009779710587,0.352301096514687,"GLYCOLYSIS.TCA.GLYOX.BYPASS:superpathway.of.glycolysis..pyruvate.dehydrogenase..TCA..and.glyoxylate.bypass"
"PWY.8131:5'.deoxyadenosine.degradation.II",0.199009779710587,0.352301096514687,"PWY.8131:5'.deoxyadenosine.degradation.II"
"ALLANTOINDEG.PWY:superpathway.of.allantoin.degradation.in.yeast",0.199009779710587,0.352301096514687,"ALLANTOINDEG.PWY:superpathway.of.allantoin.degradation.in.yeast"
"PWY.7688:dTDP.&alpha;.D.ravidosamine.and.dTDP.4.acetyl.&alpha;.D.ravidosamine.biosynthesis",0.199009779710587,0.352301096514687,"PWY.7688:dTDP.&alpha;.D.ravidosamine.and.dTDP.4.acetyl.&alpha;.D.ravidosamine.biosynthesis"
"TCA.GLYOX.BYPASS:superpathway.of.glyoxylate.bypass.and.TCA",0.199009779710587,0.352301096514687,"TCA.GLYOX.BYPASS:superpathway.of.glyoxylate.bypass.and.TCA"
"RUMP.PWY:formaldehyde.oxidation.I",0.199009779710587,0.352301096514687,"RUMP.PWY:formaldehyde.oxidation.I"
"PWY.6876:isopropanol.biosynthesis",0.199009779710587,0.352301096514687,"PWY.6876:isopropanol.biosynthesis"
"PWY.241:C4.photosynthetic.carbon.assimilation.cycle..NADP.ME.type",0.207890295349273,0.36637168642271,"PWY.241:C4.photosynthetic.carbon.assimilation.cycle..NADP.ME.type"
"ARG+POLYAMINE.SYN:superpathway.of.arginine.and.polyamine.biosynthesis",0.210762779735225,0.36977576980332,"ARG+POLYAMINE.SYN:superpathway.of.arginine.and.polyamine.biosynthesis"
"PWY.5723:Rubisco.shunt",0.212373184194716,0.37094516172677,"PWY.5723:Rubisco.shunt"
"PWY.7199:pyrimidine.deoxyribonucleosides.salvage",0.21606334841629,0.371486551482248,"PWY.7199:pyrimidine.deoxyribonucleosides.salvage"
"PWY.7184:pyrimidine.deoxyribonucleotides.de.novo.biosynthesis.I",0.21606334841629,0.371486551482248,"PWY.7184:pyrimidine.deoxyribonucleotides.de.novo.biosynthesis.I"
"PWY0.845:superpathway.of.pyridoxal.5'.phosphate.biosynthesis.and.salvage",0.217660364442431,0.371486551482248,"PWY0.845:superpathway.of.pyridoxal.5'.phosphate.biosynthesis.and.salvage"
"PYRIDOXSYN.PWY:pyridoxal.5'.phosphate.biosynthesis.I",0.217660364442431,0.371486551482248,"PYRIDOXSYN.PWY:pyridoxal.5'.phosphate.biosynthesis.I"
"NAD.BIOSYNTHESIS.II:NAD.salvage.pathway.II",0.218354690565902,0.371486551482248,"NAD.BIOSYNTHESIS.II:NAD.salvage.pathway.II"
"PWY.5705:allantoin.degradation.to.glyoxylate.III",0.218354690565902,0.371486551482248,"PWY.5705:allantoin.degradation.to.glyoxylate.III"
"PWY.6731:starch.degradation.III",0.253185098353724,0.428886826090576,"PWY.6731:starch.degradation.III"
"ARO.PWY:chorismate.biosynthesis.I",0.256140917905624,0.430185387764573,"ARO.PWY:chorismate.biosynthesis.I"
"ASPASN.PWY:superpathway.of.L.aspartate.and.L.asparagine.biosynthesis",0.256140917905624,0.430185387764573,"ASPASN.PWY:superpathway.of.L.aspartate.and.L.asparagine.biosynthesis"
"P108.PWY:pyruvate.fermentation.to.propanoate.I",0.258458455835724,0.432230524014637,"P108.PWY:pyruvate.fermentation.to.propanoate.I"
"KETOGLUCONMET.PWY:ketogluconate.metabolism",0.260496319564568,0.433792599952862,"KETOGLUCONMET.PWY:ketogluconate.metabolism"
"PWY.7282:4.amino.2.methyl.5.phosphomethylpyrimidine.biosynthesis.(yeast)",0.263912086090334,0.435787604342442,"PWY.7282:4.amino.2.methyl.5.phosphomethylpyrimidine.biosynthesis.(yeast)"
"GLYOXYLATE.BYPASS:glyoxylate.cycle",0.263912086090334,0.435787604342442,"GLYOXYLATE.BYPASS:glyoxylate.cycle"
"PWY.6305:putrescine.biosynthesis.IV",0.265195501023758,0.43607461047003,"PWY.6305:putrescine.biosynthesis.IV"
"PWY.6749:CMP.legionaminate.biosynthesis.I",0.28073191328867,0.459698508010197,"PWY.6749:CMP.legionaminate.biosynthesis.I"
"PWY.5675:nitrate.reduction.V.(assimilatory)",0.285088649190489,0.46489559805752,"PWY.5675:nitrate.reduction.V.(assimilatory)"
"PWY.7229:superpathway.of.adenosine.nucleotides.de.novo.biosynthesis.I",0.301066580478345,0.477334326638467,"PWY.7229:superpathway.of.adenosine.nucleotides.de.novo.biosynthesis.I"
"PWY.7400:L.arginine.biosynthesis.IV.(archaebacteria)",0.301066580478345,0.477334326638467,"PWY.7400:L.arginine.biosynthesis.IV.(archaebacteria)"
"PWY.724:superpathway.of.L.lysine..L.threonine.and.L.methionine.biosynthesis.II",0.301066580478345,0.477334326638467,"PWY.724:superpathway.of.L.lysine..L.threonine.and.L.methionine.biosynthesis.II"
"PWY.6608:guanosine.nucleotides.degradation.III",0.301066580478345,0.477334326638467,"PWY.6608:guanosine.nucleotides.degradation.III"
"SER.GLYSYN.PWY:superpathway.of.L.serine.and.glycine.biosynthesis.I",0.301066580478345,0.477334326638467,"SER.GLYSYN.PWY:superpathway.of.L.serine.and.glycine.biosynthesis.I"
"PWY.7242:D.fructuronate.degradation",0.301066580478345,0.477334326638467,"PWY.7242:D.fructuronate.degradation"
"NAGLIPASYN.PWY:lipid.IVA.biosynthesis",0.301218608158626,0.477334326638467,"NAGLIPASYN.PWY:lipid.IVA.biosynthesis"
"PWY0.781:aspartate.superpathway",0.323694962121423,0.487402759056396,"PWY0.781:aspartate.superpathway"
"P4.PWY:superpathway.of.L.lysine..L.threonine.and.L.methionine.biosynthesis.I",0.323694962121423,0.487402759056396,"P4.PWY:superpathway.of.L.lysine..L.threonine.and.L.methionine.biosynthesis.I"
"PWY.6895:superpathway.of.thiamin.diphosphate.biosynthesis.II",0.323694962121423,0.487402759056396,"PWY.6895:superpathway.of.thiamin.diphosphate.biosynthesis.II"
"PWY.7345:superpathway.of.anaerobic.sucrose.degradation",0.323694962121423,0.487402759056396,"PWY.7345:superpathway.of.anaerobic.sucrose.degradation"
"PWY.5189:tetrapyrrole.biosynthesis.II.(from.glycine)",0.323694962121423,0.487402759056396,"PWY.5189:tetrapyrrole.biosynthesis.II.(from.glycine)"
"P122.PWY:heterolactic.fermentation",0.323694962121423,0.487402759056396,"P122.PWY:heterolactic.fermentation"
"CRNFORCAT.PWY:creatinine.degradation.I",0.323694962121423,0.487402759056396,"CRNFORCAT.PWY:creatinine.degradation.I"
"PWY.6891:thiazole.biosynthesis.II.(Bacillus)",0.323694962121423,0.487402759056396,"PWY.6891:thiazole.biosynthesis.II.(Bacillus)"
"P23.PWY:reductive.TCA.cycle.I",0.323694962121423,0.487402759056396,"P23.PWY:reductive.TCA.cycle.I"
"PWY.5173:superpathway.of.acetyl.CoA.biosynthesis",0.323694962121423,0.487402759056396,"PWY.5173:superpathway.of.acetyl.CoA.biosynthesis"
"PWY.5918:superpathway.of.heme.b.biosynthesis.from.glutamate",0.323694962121423,0.487402759056396,"PWY.5918:superpathway.of.heme.b.biosynthesis.from.glutamate"
"METSYN.PWY:superpathway.of.L.homoserine.and.L.methionine.biosynthesis",0.323694962121423,0.487402759056396,"METSYN.PWY:superpathway.of.L.homoserine.and.L.methionine.biosynthesis"
"PWY.7371:1.4.dihydroxy.6.naphthoate.biosynthesis.II",0.323694962121423,0.487402759056396,"PWY.7371:1.4.dihydroxy.6.naphthoate.biosynthesis.II"
"PWY.6737:starch.degradation.V",0.333690871677375,0.496744365792456,"PWY.6737:starch.degradation.V"
"GLUTORN.PWY:L.ornithine.biosynthesis",0.333690871677375,0.496744365792456,"GLUTORN.PWY:L.ornithine.biosynthesis"
"SULFATE.CYS.PWY:superpathway.of.sulfate.assimilation.and.cysteine.biosynthesis",0.333690871677375,0.496744365792456,"SULFATE.CYS.PWY:superpathway.of.sulfate.assimilation.and.cysteine.biosynthesis"
"PWY.7117:C4.photosynthetic.carbon.assimilation.cycle..PEPCK.type",0.338499258613545,0.500634729382671,"PWY.7117:C4.photosynthetic.carbon.assimilation.cycle..PEPCK.type"
"PWY.5005:biotin.biosynthesis.II",0.338852005129238,0.500634729382671,"PWY.5005:biotin.biosynthesis.II"
"P164.PWY:purine.nucleobases.degradation.I.(anaerobic)",0.350193923723336,0.515453977615247,"P164.PWY:purine.nucleobases.degradation.I.(anaerobic)"
"PWY.7254:TCA.cycle.VII.(acetate.producers)",0.377780068548829,0.553983458730186,"PWY.7254:TCA.cycle.VII.(acetate.producers)"
"BRANCHED.CHAIN.AA.SYN.PWY:superpathway.of.branched.amino.acid.biosynthesis",0.387067466893862,0.561319241657889,"BRANCHED.CHAIN.AA.SYN.PWY:superpathway.of.branched.amino.acid.biosynthesis"
"HEXITOLDEGSUPER.PWY:superpathway.of.hexitol.degradation.(bacteria)",0.387067466893862,0.561319241657889,"HEXITOLDEGSUPER.PWY:superpathway.of.hexitol.degradation.(bacteria)"
"PWY.5345:superpathway.of.L.methionine.biosynthesis.(by.sulfhydrylation)",0.387067466893862,0.561319241657889,"PWY.5345:superpathway.of.L.methionine.biosynthesis.(by.sulfhydrylation)"
"PWY.6609:adenine.and.adenosine.salvage.III",0.404330963154493,0.573653676966482,"PWY.6609:adenine.and.adenosine.salvage.III"
"PWY.6122:5.aminoimidazole.ribonucleotide.biosynthesis.II",0.404330963154493,0.573653676966482,"PWY.6122:5.aminoimidazole.ribonucleotide.biosynthesis.II"
"PWY.6277:superpathway.of.5.aminoimidazole.ribonucleotide.biosynthesis",0.404330963154493,0.573653676966482,"PWY.6277:superpathway.of.5.aminoimidazole.ribonucleotide.biosynthesis"
"PWY.5973:cis.vaccenate.biosynthesis",0.404330963154493,0.573653676966482,"PWY.5973:cis.vaccenate.biosynthesis"
"PWY.7663:gondoate.biosynthesis.(anaerobic)",0.404330963154493,0.573653676966482,"PWY.7663:gondoate.biosynthesis.(anaerobic)"
"FERMENTATION.PWY:mixed.acid.fermentation",0.404330963154493,0.573653676966482,"FERMENTATION.PWY:mixed.acid.fermentation"
"PWY.5690:TCA.cycle.II.(plants.and.fungi)",0.421094777455882,0.595288660216409,"PWY.5690:TCA.cycle.II.(plants.and.fungi)"
"P42.PWY:incomplete.reductive.TCA.cycle",0.434769795512727,0.612417668948035,"P42.PWY:incomplete.reductive.TCA.cycle"
"PWY.6892:thiazole.biosynthesis.I.(E..coli)",0.445350573337781,0.622856851678819,"PWY.6892:thiazole.biosynthesis.I.(E..coli)"
"PWY.6595:superpathway.of.guanosine.nucleotides.degradation.(plants)",0.445350573337781,0.622856851678819,"PWY.6595:superpathway.of.guanosine.nucleotides.degradation.(plants)"
"TRNA.CHARGING.PWY:tRNA.charging",0.462346477052359,0.640575669498137,"TRNA.CHARGING.PWY:tRNA.charging"
"THRESYN.PWY:superpathway.of.L.threonine.biosynthesis",0.462346477052359,0.640575669498137,"THRESYN.PWY:superpathway.of.L.threonine.biosynthesis"
"BIOTIN.BIOSYNTHESIS.PWY:biotin.biosynthesis.I",0.46453960765132,0.640575669498137,"BIOTIN.BIOSYNTHESIS.PWY:biotin.biosynthesis.I"
"PWY.6519:8.amino.7.oxononanoate.biosynthesis.I",0.46453960765132,0.640575669498137,"PWY.6519:8.amino.7.oxononanoate.biosynthesis.I"
"PWY0.1261:anhydromuropeptides.recycling",0.490357820862711,0.643245822830844,"PWY0.1261:anhydromuropeptides.recycling"
"PWY.6803:phosphatidylcholine.acyl.editing",0.517764255032675,0.643245822830844,"PWY.6803:phosphatidylcholine.acyl.editing"
"PWY.5100:pyruvate.fermentation.to.acetate.and.lactate.II",0.524886877828054,0.643245822830844,"PWY.5100:pyruvate.fermentation.to.acetate.and.lactate.II"
"PWY.6606:guanosine.nucleotides.degradation.II",0.524886877828054,0.643245822830844,"PWY.6606:guanosine.nucleotides.degradation.II"
"PWY0.862:(5Z).dodecenoate.biosynthesis.I",0.538252657988501,0.643245822830844,"PWY0.862:(5Z).dodecenoate.biosynthesis.I"
"PWY.6471:peptidoglycan.biosynthesis.IV.(Enterococcus.faecium)",0.538252657988501,0.643245822830844,"PWY.6471:peptidoglycan.biosynthesis.IV.(Enterococcus.faecium)"
"PWY.6969:TCA.cycle.V.(2.oxoglutarate:erredoxin.oxidoreductase)",0.538252657988501,0.643245822830844,"PWY.6969:TCA.cycle.V.(2.oxoglutarate:erredoxin.oxidoreductase)"
"PWY.7211:superpathway.of.pyrimidine.deoxyribonucleotides.de.novo.biosynthesis",0.538252657988501,0.643245822830844,"PWY.7211:superpathway.of.pyrimidine.deoxyribonucleotides.de.novo.biosynthesis"
"PWY.5840:superpathway.of.menaquinol.7.biosynthesis",0.538252657988501,0.643245822830844,"PWY.5840:superpathway.of.menaquinol.7.biosynthesis"
"PWY.5897:superpathway.of.menaquinol.11.biosynthesis",0.538252657988501,0.643245822830844,"PWY.5897:superpathway.of.menaquinol.11.biosynthesis"
"PWY.5898:superpathway.of.menaquinol.12.biosynthesis",0.538252657988501,0.643245822830844,"PWY.5898:superpathway.of.menaquinol.12.biosynthesis"
"PWY.5899:superpathway.of.menaquinol.13.biosynthesis",0.538252657988501,0.643245822830844,"PWY.5899:superpathway.of.menaquinol.13.biosynthesis"
"PWY.6263:superpathway.of.menaquinol.8.biosynthesis.II",0.538252657988501,0.643245822830844,"PWY.6263:superpathway.of.menaquinol.8.biosynthesis.II"
"PWY.7210:pyrimidine.deoxyribonucleotides.biosynthesis.from.CTP",0.538252657988501,0.643245822830844,"PWY.7210:pyrimidine.deoxyribonucleotides.biosynthesis.from.CTP"
"P161.PWY:acetylene.degradation",0.538252657988501,0.643245822830844,"P161.PWY:acetylene.degradation"
"PWY.7385:1.3.propanediol.biosynthesis.(engineered)",0.538252657988501,0.643245822830844,"PWY.7385:1.3.propanediol.biosynthesis.(engineered)"
"PWY.5918:superpathay.of.heme.biosynthesis.from.glutamate",0.538252657988501,0.643245822830844,"PWY.5918:superpathay.of.heme.biosynthesis.from.glutamate"
"PWY.5838:superpathway.of.menaquinol.8.biosynthesis.I",0.538252657988501,0.643245822830844,"PWY.5838:superpathway.of.menaquinol.8.biosynthesis.I"
"PWY.5497:purine.nucleobases.degradation.II.(anaerobic)",0.538252657988501,0.643245822830844,"PWY.5497:purine.nucleobases.degradation.II.(anaerobic)"
"PWY.5656:mannosylglycerate.biosynthesis.I",0.538252657988501,0.643245822830844,"PWY.5656:mannosylglycerate.biosynthesis.I"
"PWY.5088:L.glutamate.degradation.VIII.(to.propanoate)",0.538252657988501,0.643245822830844,"PWY.5088:L.glutamate.degradation.VIII.(to.propanoate)"
"PWY66.389:phytol.degradation",0.538252657988501,0.643245822830844,"PWY66.389:phytol.degradation"
"GALACTITOLCAT.PWY:galactitol.degradation",0.538252657988501,0.643245822830844,"GALACTITOLCAT.PWY:galactitol.degradation"
"PWY66.391:fatty.acid.&beta;.oxidation.VI.(mammalian.peroxisome)",0.538252657988501,0.643245822830844,"PWY66.391:fatty.acid.&beta;.oxidation.VI.(mammalian.peroxisome)"
"PWY.5861:superpathway.of.demethylmenaquinol.8.biosynthesis",0.538252657988501,0.643245822830844,"PWY.5861:superpathway.of.demethylmenaquinol.8.biosynthesis"
"PWY66.367:ketogenesis",0.538252657988501,0.643245822830844,"PWY66.367:ketogenesis"
"PWY.6895:superpathway.of.thiamine.diphosphate.biosynthesis.II",0.538252657988501,0.643245822830844,"PWY.6895:superpathway.of.thiamine.diphosphate.biosynthesis.II"
"PWY.5845:superpathway.of.menaquinol.9.biosynthesis",0.538252657988501,0.643245822830844,"PWY.5845:superpathway.of.menaquinol.9.biosynthesis"
"PWY.5850:superpathway.of.menaquinol.6.biosynthesis.I",0.538252657988501,0.643245822830844,"PWY.5850:superpathway.of.menaquinol.6.biosynthesis.I"
"PWY.5896:superpathway.of.menaquinol.10.biosynthesis",0.538252657988501,0.643245822830844,"PWY.5896:superpathway.of.menaquinol.10.biosynthesis"
"PWY.5791:1.4.dihydroxy.2.naphthoate.biosynthesis.II.(plants)",0.538252657988501,0.643245822830844,"PWY.5791:1.4.dihydroxy.2.naphthoate.biosynthesis.II.(plants)"
"PWY.5837:1.4.dihydroxy.2.naphthoate.biosynthesis.I",0.538252657988501,0.643245822830844,"PWY.5837:1.4.dihydroxy.2.naphthoate.biosynthesis.I"
"PWY.5860:superpathway.of.demethylmenaquinol.6.biosynthesis.I",0.538252657988501,0.643245822830844,"PWY.5860:superpathway.of.demethylmenaquinol.6.biosynthesis.I"
"PWY.5862:superpathway.of.demethylmenaquinol.9.biosynthesis",0.538252657988501,0.643245822830844,"PWY.5862:superpathway.of.demethylmenaquinol.9.biosynthesis"
"PWY.5863:superpathway.of.phylloquinol.biosynthesis",0.538252657988501,0.643245822830844,"PWY.5863:superpathway.of.phylloquinol.biosynthesis"
"PWY.7992:superpathway.of.menaquinol.8.biosynthesis.III",0.538252657988501,0.643245822830844,"PWY.7992:superpathway.of.menaquinol.8.biosynthesis.III"
"METHGLYUT.PWY:superpathway.of.methylglyoxal.degradation",0.538252657988501,0.643245822830844,"METHGLYUT.PWY:superpathway.of.methylglyoxal.degradation"
"ARGDEG.PWY:superpathway.of.L.arginine..putrescine..and.4.aminobutanoate.degradation",0.538252657988501,0.643245822830844,"ARGDEG.PWY:superpathway.of.L.arginine..putrescine..and.4.aminobutanoate.degradation"
"ORNARGDEG.PWY:superpathway.of.L.arginine.and.L.ornithine.degradation",0.538252657988501,0.643245822830844,"ORNARGDEG.PWY:superpathway.of.L.arginine.and.L.ornithine.degradation"
"PWY.6863:pyruvate.fermentation.to.hexanol.(engineered)",0.538252657988501,0.643245822830844,"PWY.6863:pyruvate.fermentation.to.hexanol.(engineered)"
"PWY.7003:glycerol.degradation.to.butanol",0.538252657988501,0.643245822830844,"PWY.7003:glycerol.degradation.to.butanol"
"PWY.6583:pyruvate.fermentation.to.butanol.I",0.538252657988501,0.643245822830844,"PWY.6583:pyruvate.fermentation.to.butanol.I"
"PWY.7090:UDP.2.3.diacetamido.2.3.dideoxy.&alpha;.D.mannuronate.biosynthesis",0.538252657988501,0.643245822830844,"PWY.7090:UDP.2.3.diacetamido.2.3.dideoxy.&alpha;.D.mannuronate.biosynthesis"
"PWY.6629:superpathway.of.L.tryptophan.biosynthesis",0.543403595877456,0.643245822830844,"PWY.6629:superpathway.of.L.tryptophan.biosynthesis"
"PWY.1861:formaldehyde.assimilation.II.(RuMP.Cycle)",0.543403595877456,0.643245822830844,"PWY.1861:formaldehyde.assimilation.II.(RuMP.Cycle)"
"GLYCOCAT.PWY:glycogen.degradation.I.(bacterial)",0.543403595877456,0.643245822830844,"GLYCOCAT.PWY:glycogen.degradation.I.(bacterial)"
"PWY.7013:L.1.2.propanediol.degradation",0.543403595877456,0.643245822830844,"PWY.7013:L.1.2.propanediol.degradation"
"PWY.621:sucrose.degradation.III.(sucrose.invertase)",0.56679765434362,0.668923357828957,"PWY.621:sucrose.degradation.III.(sucrose.invertase)"
"PWY.4984:urea.cycle",0.574674944626186,0.676189380952368,"PWY.4984:urea.cycle"
"GALACTUROCAT.PWY:D.galacturonate.degradation.I",0.59082094376212,0.691049496721766,"GALACTUROCAT.PWY:D.galacturonate.degradation.I"
"PWY.6507:4.deoxy.L.threo.hex.4.enopyranuronate.degradation",0.59082094376212,0.691049496721766,"PWY.6507:4.deoxy.L.threo.hex.4.enopyranuronate.degradation"
"GLUCOSE1PMETAB.PWY:glucose.and.glucose.1.phosphate.degradation",0.596669226553233,0.695819009007183,"GLUCOSE1PMETAB.PWY:glucose.and.glucose.1.phosphate.degradation"
