"","Intercept::Est","Intercept::SE","Intercept::t.val","Experiment3:Est","Experiment3:SE","Experiment3:t.val","GroupsY:Est","GroupsY:SE","GroupsY:t.val","(Intercept):pval","Experiment3:pval","GroupsY:pval","(Intercept):pval.padj","Experiment3:pval.padj","GroupsY:pval.padj","Pathway"
"LACTOSECAT-PWY: lactose and galactose degradation I",6.47010765293504,0.335496329401866,19.2995491754711,2.93268225916895,0.400286547834941,7.33200522111452,0.017073102329855,0.398629039481941,0.0426971378080444,6.90412454675737e-14,6.63719888074399e-07,0.94218087723923,2.25041287512192e-11,0.000229832494561751,1,"LACTOSECAT-PWY: lactose and galactose degradation I"
"MET-SAM-PWY: superpathway of S-adenosyl-L-methionine biosynthesis",5.55138465818487,1.47009303844585,3.88730790751205,-9.339506186301,1.75399375726342,-5.40705800168026,0.059569234514534,1.74673081195712,0.0332415763232487,0.00360880751079042,6.92949307802872e-05,0.87538032572237,0.39504696322555,0.0241047238993916,1,"MET-SAM-PWY: superpathway of S-adenosyl-L-methionine biosynthesis"
"METH-ACETATE-PWY: methanogenesis from acetate",5.75376809940761,1.52529116717016,3.89476130390237,-5.50586397568191,1.81985161160537,-3.06096369294669,0.700458630560737,1.81231596179707,0.378526212940998,0.00386643612781617,0.0071618888554761,0.708974190503888,0.374256726868567,0.99923432224077,1,"METH-ACETATE-PWY: methanogenesis from acetate"
"METHGLYUT-PWY: superpathway of methylglyoxal degradation",-6.52658479606307,1.49238507707024,-4.43996233411237,-1.68032604066367,1.78059077905817,-1.00175616243884,0.392868376234303,1.77321770068338,0.235579590888027,0.00106047305520345,0.423018505473372,0.717056043194431,0.192952078381507,0.997107364526347,1,"METHGLYUT-PWY: superpathway of methylglyoxal degradation"
"METSYN-PWY: L-homoserine and L-methionine biosynthesis",5.6805179904366,0.713946352248912,8.88247307540903,-13.7697852635302,0.851821899782238,-17.7337655150385,-0.0603708299012497,0.848294671795703,-0.0843571095436314,4.74439508486003e-05,6.72410960245173e-10,0.727858329881573,0.0124439289054934,2.49252924636872e-07,1,"METSYN-PWY: L-homoserine and L-methionine biosynthesis"
"METSYN-PWY: superpathway of L-homoserine and L-methionine biosynthesis",-8.21944307422717,1.65386656023649,-5.04884523739351,4.26380574134506,1.97325716545687,2.22470371474287,0.292433068901459,1.96508629323533,0.159299971621088,0.000318451101554823,0.0844528846387998,0.760847993322912,0.0906684719758882,0.966846710145735,1,"METSYN-PWY: superpathway of L-homoserine and L-methionine biosynthesis"
"NAGLIPASYN-PWY: lipid IVA biosynthesis",4.96835218400726,0.733266448406695,7.68658841543876,-12.9137820938696,0.874873044957583,-16.4309344625423,-0.196982165452936,0.871250366684546,-0.289728954347836,0.000177073496646638,5.35273363133637e-09,0.667044273276862,0.0423470193811107,1.97756234599118e-06,1,"NAGLIPASYN-PWY: lipid IVA biosynthesis"
"NAGLIPASYN-PWY: lipid IVA biosynthesis (E. coli)",-7.98411748753326,0.889841936461905,-9.45958531890925,12.6135777548701,1.06168600264606,12.6863750015229,-0.1169539600638,1.05728976843043,-0.195984219011714,8.01800728977842e-07,4.98061248355031e-08,0.702950503273847,0.000271284581710484,1.72205704475636e-05,1,"NAGLIPASYN-PWY: lipid IVA biosynthesis (E. coli)"
"NONMEVIPP-PWY: methylerythritol phosphate pathway I",-8.2372160696162,0.840425504370587,-10.3525600472468,17.4041624254171,1.00272639184073,18.5033077599244,0.49582453711813,0.998574297848964,0.521646946964699,4.91365730154528e-07,1.50035881520798e-10,0.571723236508335,0.000166865447606,5.376390117985e-08,1,"NONMEVIPP-PWY: methylerythritol phosphate pathway I"
"NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch)",7.7937623608766,0.724589314722886,12.209122426279,-15.7524142467784,0.864520204753381,-20.4113172032319,-0.291611535472474,0.860940395568022,-0.373278987996172,0.000114511681542955,8.5104172365541e-08,0.635113968186039,0.00889805259238378,3.06719253110911e-05,1,"NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch)"
"NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I",-8.25824621961849,0.83621403470312,-10.4473615098488,15.283667165726,0.997701613603933,16.402036524828,0.406175163706827,0.993570326236687,0.424981719028297,1.1611138257539e-06,6.32622666008462e-09,0.627661108312256,0.000369602041000222,2.18634062245242e-06,1,"NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I"
"OANTIGEN-PWY: O-antigen building blocks biosynthesis (E. coli)",8.46178333838686,0.210428483648221,40.3003124821689,1.62266035852107,0.251065910127417,6.47753534858117,-0.00623171892807499,0.250026295267912,-0.0247278491584955,1.03003006167317e-19,4.33966804447822e-06,0.928818523877987,3.78667315028605e-17,0.00147470529173683,1,"OANTIGEN-PWY: O-antigen building blocks biosynthesis (E. coli)"
"ORNARGDEG-PWY: superpathway of L-arginine and L-ornithine degradation",-6.58425551862507,1.45145377422844,-4.59091339361971,-1.8289820943281,1.73175492460296,-1.12564225851394,0.523017688730374,1.72458406595581,0.305605928252343,0.000684360309038718,0.388060351676556,0.686719427422073,0.153944548401235,0.99296383713372,1,"ORNARGDEG-PWY: superpathway of L-arginine and L-ornithine degradation"
"P105-PWY: TCA cycle IV (2-oxoglutarate decarboxylase)",-6.53322663182491,1.45009129422521,-4.61749732881326,-1.30870622876765,1.73012932584318,-0.762426349709698,-0.540868747264449,1.72296519848275,-0.330969964016289,0.00145586445890857,0.506727004823931,0.678404541695675,0.17734388856781,1,1,"P105-PWY: TCA cycle IV (2-oxoglutarate decarboxylase)"
"P108-PWY: pyruvate fermentation to propanoate I",4.65987886932646,1.62293611487344,2.92352190521551,-6.72034827889378,1.9363535092546,-3.49092821510767,-0.264027496502991,1.92833544786006,-0.135110661005718,0.0132970669945147,0.0026551799003779,0.845424175215238,0.936672673201007,0.773073678073267,1,"P108-PWY: pyruvate fermentation to propanoate I"
"P122-PWY: heterolactic fermentation",-2.01898818439607,2.15777440548464,-0.918893308846355,0.34558065760172,2.57447844308139,0.134737010413105,-3.84646748551775,2.56381803106628,-1.52504754154373,0.394711586418399,0.814056960023574,0.179343908561192,1,1,1,"P122-PWY: heterolactic fermentation"
"P124-PWY: Bifidobacterium shunt",4.51415023704224,1.34792955289885,3.43873672286809,3.95682253584859,1.60823836259705,2.48533972151787,-2.12630003801352,1.60157896189014,-1.32595877420427,0.00625002679331815,0.0238152033468549,0.200925586714175,0.645167223882967,1,1,"P124-PWY: Bifidobacterium shunt"
"P161-PWY: acetylene degradation",-2.43052832008227,1.72924817005875,-1.39170765272937,-4.25621348088817,2.06319628467105,-2.1306647539241,-2.60435199742101,2.0546529921367,-1.30114702195187,0.201110175574063,0.0847867991311096,0.273228088872841,1,0.980143308444282,1,"P161-PWY: acetylene degradation"
"P161-PWY: acetylene degradation (anaerobic)",-7.76094280891655,1.53002162718999,-5.16546999406637,7.10073866375248,1.82549560632323,3.99217439048543,-0.228474463646188,1.81793658583601,-0.125885762694986,0.000301902716038884,0.0037913920707544,0.790827909708929,0.0841169147495201,0.44150133292923,1,"P161-PWY: acetylene degradation (anaerobic)"
"P162-PWY: L-glutamate degradation V (via hydroxyglutarate)",-2.69498994790828,1.76813654036948,-1.5063685366427,-5.70598056887292,2.10959468053535,-2.78484910318764,0.657741263080752,2.10085926131294,0.315083381730821,0.173675027474578,0.0333959997336442,0.718570998016948,1,0.893524087190943,1,"P162-PWY: L-glutamate degradation V (via hydroxyglutarate)"
"P163-PWY: L-lysine fermentation to acetate and butanoate",-6.8350959010538,1.3215658656536,-5.26362429088671,-1.01560887918192,1.57678338550559,-0.684665690284396,-0.386382339106808,1.57025423371051,-0.27465180891475,0.000535743140593375,0.549592289872504,0.696993997472524,0.0614459264313335,1,1,"P163-PWY: L-lysine fermentation to acetate and butanoate"
"P164-PWY: purine nucleobases degradation I (anaerobic)",5.86851312946108,0.225142654609466,26.100547745446,-0.545619827819483,0.268621645264165,-2.0338632016179,-0.337274213603585,0.267509335536971,-1.2621729032546,3.09398763611322e-16,0.0599840562949619,0.229424228866697,1.06156723107573e-13,1,1,"P164-PWY: purine nucleobases degradation I (anaerobic)"
"P185-PWY: formaldehyde assimilation III (dihydroxyacetone cycle)",-4.7354206615247,1.57641784074056,-3.01278313882427,6.10515671473777,1.88085174147941,3.28851141399939,-1.13504364946531,1.87306350205663,-0.62989799661401,0.00849928897881148,0.00691774536904034,0.562459217243826,0.97831749310212,0.811784152795478,1,"P185-PWY: formaldehyde assimilation III (dihydroxyacetone cycle)"
"P23-PWY: reductive TCA cycle I",-6.09908855627816,1.9056143564686,-3.23369781676771,4.35335314088479,2.27362187125996,1.95853950385904,-1.6974516804088,2.26420724750216,-0.757985457417727,0.00834782330306877,0.103021326295949,0.500316683343225,0.776661608935621,0.995588270294042,1,"P23-PWY: reductive TCA cycle I"
"P4-PWY: superpathway of L-lysine, L-threonine and L-methionine biosynthesis I",2.26215888285001,1.60347870061219,1.46148732494092,-8.26653612336501,1.91313852744446,-4.40808735379882,-4.0040334320136,1.9052165947519,-2.12634837016734,0.1944584693304,0.00168347280371401,0.0711374358218771,1,0.264237566085594,0.995193884104239,"P4-PWY: superpathway of L-lysine, L-threonine and L-methionine biosynthesis I"
"P41-PWY: pyruvate fermentation to acetate and (S)-lactate I",-8.0413053839572,0.848199935136495,-10.1858388236334,17.910861433044,1.01200220138003,19.3305024779605,0.145160719259444,1.00781169807405,0.10955685633396,8.0237579456674e-07,5.85969170469913e-10,0.695050772207145,0.000271294031569351,2.0774863247318e-07,1,"P41-PWY: pyruvate fermentation to acetate and (S)-lactate I"
"P42-PWY: incomplete reductive TCA cycle",1.92683467748544,1.35489610267209,1.47801534527342,4.85292457192632,1.61655027517153,3.02629665198554,-3.96413592031918,1.60985645645933,-2.46995248076294,0.180769423101411,0.0075166642801585,0.0236246531786584,1,1,1,"P42-PWY: incomplete reductive TCA cycle"
"P441-PWY: superpathway of N-acetylneuraminate degradation",-2.82704539278693,2.09321975615354,-1.34218386533852,5.45600604110739,2.49745716009593,2.20747289723646,-4.04508406995883,2.48711567815879,-1.64926913480496,0.215534685899217,0.0565327317886952,0.149926422156029,1,1,1,"P441-PWY: superpathway of N-acetylneuraminate degradation"
"P461-PWY: hexitol fermentation to lactate, formate, ethanol and acetate",6.08428259285823,0.983307894978156,6.48284919277334,-2.90849974752173,1.17320187508871,-2.54966211310051,-0.787805270824501,1.16834387544262,-0.655573744896244,8.42933626311838e-05,0.0235871898255786,0.521800784093664,0.0222282583038819,0.997814428901791,1,"P461-PWY: hexitol fermentation to lactate, formate, ethanol and acetate"
"P562-PWY: myo-inositol degradation I",3.68549857879631,1.16092382664891,3.32745607450928,-11.2029577512205,1.38511855464144,-8.37260881135022,-1.20525071620317,1.37938304944739,-0.895598993467985,0.0119781564556888,4.71824175907881e-06,0.448687072096793,0.694813318226042,0.00165269985310511,1,"P562-PWY: myo-inositol degradation I"
"PANTO-PWY: phosphopantothenate biosynthesis I",9.22668472304458,0.203657917718898,45.3977907383772,0.0980721017770186,0.242987829310352,0.403670593508731,0.0171942528683734,0.241981664204536,0.0718373979325849,1.1092056086317e-20,0.695252792182272,0.906335571533479,4.16326637872003e-18,1,1,"PANTO-PWY: phosphopantothenate biosynthesis I"
"PANTOSYN-PWY: pantothenate and coenzyme A biosynthesis I",9.05109086116042,0.761277301869041,13.2350464914253,-17.3455857023311,0.908293284917713,-20.9898487198897,0.214452986247633,0.904532219963451,0.274761281115745,5.30623050203298e-07,1.6584245261797e-10,0.681638512145509,0.00014677294449063,6.1528156344165e-08,1,"PANTOSYN-PWY: pantothenate and coenzyme A biosynthesis I"
"PANTOSYN-PWY: superpathway of coenzyme A biosynthesis I (bacteria)",-8.20016129798336,0.813253312477027,-10.8370949544095,17.5629248609332,0.970306773689991,19.7118486881171,0.397801636494235,0.966288923000124,0.395965764633626,6.66168674980094e-07,1.26891692318873e-10,0.619755782306942,0.000224121713065375,4.57102507526468e-08,1,"PANTOSYN-PWY: superpathway of coenzyme A biosynthesis I (bacteria)"
"PENTOSE-P-PWY: pentose phosphate pathway",6.06240025710515,0.162602555894494,37.4012391609936,1.56961644682121,0.194003957909719,8.11801265314237,-0.197402341709006,0.193200625440793,-1.02497353954899,5.23883834667001e-19,2.28952915751648e-07,0.332913320968445,1.89968911832346e-16,7.97430171768832e-05,1,"PENTOSE-P-PWY: pentose phosphate pathway"
"PEPTIDOGLYCANSYN-PWY: peptidoglycan biosynthesis I (meso-diaminopimelate containing)",9.77266939156758,0.199270968053021,49.14159653907,0.293634199152834,0.237753682813398,1.23749742983565,0.296566395028889,0.236769191285138,1.25586565072911,2.43539070770184e-21,0.239751918091879,0.233829224446353,9.30189417629229e-19,1,1,"PEPTIDOGLYCANSYN-PWY: peptidoglycan biosynthesis I (meso-diaminopimelate containing)"
"PHOSLIPSYN-PWY: superpathway of phospholipid biosynthesis I (bacteria)",6.33285027057629,0.258096509853019,24.5644015431668,0.0412576650181722,0.307939467240971,0.134517475496637,-0.385129052260798,0.306664350098187,-1.25620665338186,8.85558264814994e-16,0.883401414775211,0.229823165289762,2.9973293458619e-13,1,1,"PHOSLIPSYN-PWY: superpathway of phospholipid biosynthesis I (bacteria)"
"POLYAMINSYN3-PWY: superpathway of polyamine biosynthesis II",-4.38315869053331,1.83438638805657,-2.39005705333716,-1.76811185513278,2.18863853437582,-0.829688839533118,-1.6377180023834,2.17957581000488,-0.769532780132909,0.0346606408509067,0.465248822356323,0.499504365776213,1,1,1,"POLYAMINSYN3-PWY: superpathway of polyamine biosynthesis II"
"POLYAMSYN-PWY: superpathway of polyamine biosynthesis I",3.08588844908863,1.48239237176252,2.12168545272474,-8.6165801584972,1.76866830730329,-4.92397380696618,-0.956861271034904,1.76134459755363,-0.541318414326182,0.0633203395757389,0.000223296993048391,0.60527050380561,1,0.0766309088921537,1,"POLYAMSYN-PWY: superpathway of polyamine biosynthesis I"
"POLYISOPRENSYN-PWY: polyisoprenoid biosynthesis (E. coli)",2.06537627734503,1.40389749719584,1.54306650272705,7.6031909138696,1.67501469738437,4.61490656763946,-4.43836563593995,1.66807878892747,-2.67858361297797,0.170554846348698,0.000318732194760201,0.0154415043870669,1,0.103279650751061,1,"POLYISOPRENSYN-PWY: polyisoprenoid biosynthesis (E. coli)"
"PPGPPMET-PWY: ppGpp biosynthesis",3.77358894421675,0.752926294486844,5.47605772099597,-11.896619189434,0.898329551717045,-14.206803686558,0.0157778655159443,0.894609744634416,0.0314011356696197,0.00118590805250423,3.53017998340477e-09,0.753923665696128,0.159029896527935,1.3048562226177e-06,1,"PPGPPMET-PWY: ppGpp biosynthesis"
"PPGPPMET-PWY: ppGpp metabolism",-8.4018882070706,0.857612435211759,-10.6125971439586,12.0600335173893,1.02323242010803,12.8416546949636,0.823292898641205,1.0189954146614,0.904045015127103,1.12919877556968e-06,2.69442940924552e-07,0.461280139843828,0.000369076944011502,9.01643050585291e-05,1,"PPGPPMET-PWY: ppGpp metabolism"
"PROPFERM-PWY: L-alanine fermentation to propanoate and acetate",-6.71330793810544,1.33928507394855,-5.0520531020666,-1.00479094396704,1.59792448332744,-0.661731909011067,-0.585751725311009,1.59130779037859,-0.404730385296808,0.000187454653728082,0.557470593737507,0.660902053764777,0.0554876719135694,0.993887089552795,1,"PROPFERM-PWY: L-alanine fermentation to propanoate and acetate"
"PRPP-PWY: superpathway of histidine, purine, and pyrimidine biosynthesis",-6.35814272646284,1.5243831584956,-4.19712777490438,-1.41498225174887,1.81876825054925,-0.807761694419652,-0.954917869854706,1.81123708672733,-0.56227664116521,0.00153184699587009,0.492278129915455,0.590695068028696,0.265154460409538,1,1,"PRPP-PWY: superpathway of histidine, purine, and pyrimidine biosynthesis"
"PWY-1042: glycolysis IV",-8.09500873415627,0.815293170131021,-10.7079426346285,17.8473556084376,0.972740563591203,20.1168159319445,0.505761777056822,0.968712635053073,0.524731712217035,1.66224332730051e-06,1.7703647599556e-10,0.588979693678035,0.00051859249849296,6.28964665366064e-08,1,"PWY-1042: glycolysis IV"
"PWY-1042: glycolysis IV (plant cytosol)",10.1372530709424,0.750649633223173,15.3644226646171,-18.4323168863837,0.895613227280801,-23.1309194877888,0.116088395640726,0.89190466796672,0.256570835544859,1.46065324928001e-07,1.70617096839631e-10,0.649619345707265,4.08117749591582e-05,6.33696412479651e-08,0.996539957099301,"PWY-1042: glycolysis IV (plant cytosol)"
"PWY-1269: CMP-3-deoxy-D-manno-octulosonate biosynthesis",-7.97722706193787,0.823451118450206,-10.2733679696554,13.2039833735447,0.982473954641783,14.4428227629748,-0.0374997434806327,0.978405722033839,-0.106106580424101,4.00910229025019e-06,2.51753867863874e-08,0.728471853937514,0.00121249768859558,8.6581337792438e-06,1,"PWY-1269: CMP-3-deoxy-D-manno-octulosonate biosynthesis"
"PWY-1269: CMP-3-deoxy-D-manno-octulosonate biosynthesis I",5.22241487302551,0.798737834031648,7.20225320491173,-13.6692125235257,0.952988102074619,-15.5052837559331,0.419923440726801,0.949041964618736,0.481799639914307,0.000327642306827705,1.98407718032811e-09,0.609754567969275,0.0452356754460564,7.34542681681341e-07,1,"PWY-1269: CMP-3-deoxy-D-manno-octulosonate biosynthesis I"
"PWY-1861: formaldehyde assimilation II (RuMP Cycle)",0.748200351684535,1.80263978413327,0.465000965402768,-7.2965105002434,2.15076110509784,-3.48186952344278,-3.18011581218934,2.14185522375787,-1.51936843267388,0.656143354998876,0.01029591555631,0.19427768085676,1,0.644850515343211,1,"PWY-1861: formaldehyde assimilation II (RuMP Cycle)"
"PWY-1861: formaldehyde assimilation II (assimilatory RuMP Cycle)",-9.00894871527994,1.28930225083132,-7.11600351885655,12.1428871366078,1.53828910146705,8.08792107285026,2.51916676858118,1.53191934697792,1.66635680100914,8.5590893963549e-06,5.9998355210985e-06,0.18749772388858,0.00271513520086103,0.00198031746737674,0.99957196761722,"PWY-1861: formaldehyde assimilation II (assimilatory RuMP Cycle)"
"PWY-241: C4 photosynthetic carbon assimilation cycle, NADP-ME type",4.99786695486956,1.26990437581586,4.08759737985205,-0.18984433826864,1.51514515697407,-0.132248322396347,-3.0528936456108,1.50887123703528,-2.04847970842478,0.00267247448879298,0.859786062004396,0.0563269518493327,0.334891883084204,1,1,"PWY-241: C4 photosynthetic carbon assimilation cycle, NADP-ME type"
"PWY-2723: trehalose degradation V",-3.57844259858403,1.73055451708265,-2.06779311580935,-4.26951429568342,2.06475491018985,-2.12515047217095,-0.212758261083993,2.05620516369189,-0.0978722994675938,0.0687345212397583,0.0892976987588877,0.788088328551723,1,0.978837359398434,1,"PWY-2723: trehalose degradation V"
"PWY-2941: L-lysine biosynthesis II",7.78193662941543,0.253369418300199,30.7555802548451,1.81620928088485,0.302299491500098,6.01633274214489,0.270907954296565,0.301047728394446,0.901199764079775,1.42867420382947e-17,1.02767955155556e-05,0.384992100893506,5.05724587339239e-15,0.0034599777564046,1,"PWY-2941: L-lysine biosynthesis II"
"PWY-2942: L-lysine biosynthesis III",9.70415243007346,0.184943301477999,52.5917394029789,0.142382035430585,0.220659092830638,0.646607042993197,0.250162685829913,0.219745386658122,1.14164410370487,7.05837138451001e-22,0.534528944260609,0.278995316728818,2.75499640940994e-19,1,1,"PWY-2942: L-lysine biosynthesis III"
"PWY-3001: superpathway of L-isoleucine biosynthesis I",8.06488010711565,0.193643699663847,41.7297593374556,-0.335657482186784,0.231039690319771,-1.45520153168095,0.537971466788164,0.230083000122085,2.34275634272576,5.2085870598735e-20,0.170326406406183,0.0333194572546903,1.92788631570231e-17,1,1,"PWY-3001: superpathway of L-isoleucine biosynthesis I"
"PWY-3841: folate transformations II",9.8051871879341,0.711941063551028,15.6178724470804,-18.1157642404604,0.849429354708141,-23.8533955361633,0.450429765961367,0.845912033783101,0.549584626797958,1.68856286239333e-07,4.60257474493853e-11,0.599506221944901,4.68447825032867e-05,1.71457349654874e-08,0.998768622018481,"PWY-3841: folate transformations II"
"PWY-3841: folate transformations II (plants)",-8.12488619799372,0.852685036280086,-10.1738653966221,18.5300489868405,1.01735345412446,19.6804121666982,0.272800379388201,1.01314079232685,0.260626565306189,7.54426962174329e-07,7.49778866713491e-11,0.676715575601859,0.000253800042772694,2.70741458041322e-08,1,"PWY-3841: folate transformations II (plants)"
"PWY-4041: &gamma;-glutamyl cycle",5.2176030021605,0.224511787775694,23.2745956162516,0.731121203764723,0.267868946993265,2.73199114517751,-0.157807076581086,0.266759754042485,-0.592853494474563,2.62766781658476e-15,0.0143393283268971,0.56792940330626,8.78342971818993e-13,1,1,"PWY-4041: &gamma;-glutamyl cycle"
"PWY-4242: pantothenate and coenzyme A biosynthesis III",9.17640199318629,0.728923510644205,14.0273918948892,-17.2682681683733,0.869691409833562,-21.9298104792126,0.173329626304029,0.866090187698749,0.261351402674421,5.14508067770071e-07,1.88266150932814e-10,0.690594548143617,0.000140651184857354,6.98283439768549e-08,1,"PWY-4242: pantothenate and coenzyme A biosynthesis III"
"PWY-4321: L-glutamate degradation IV",3.01828873547956,1.44497947944204,2.15071735296231,-10.3685838579499,1.72403033007659,-6.13475635538942,-1.49916634302899,1.7168914574655,-0.880201891789796,0.0673613005973933,7.11397763387047e-05,0.434985502038599,0.997905828628073,0.0244595915239579,1,"PWY-4321: L-glutamate degradation IV"
"PWY-4702: phytate degradation I",-4.17365234670553,1.65229945780103,-2.52098348413896,-3.46493884378411,1.97138742808862,-1.81926492957652,-1.12914364012265,1.96322429808405,-0.609636560227418,0.0277623130691335,0.15458332723703,0.56351309920144,0.995663195742952,0.995707087118142,1,"PWY-4702: phytate degradation I"
"PWY-4981: L-proline biosynthesis II (from arginine)",7.31017711772569,0.810249350310472,9.99951748608356,-15.6886481324362,0.966722693805657,-17.735441241194,0.177960503020833,0.962719684090033,0.205468253074895,1.42932057891023e-05,7.0828917210497e-10,0.690354029867215,0.00380972219986936,2.62817570850435e-07,1,"PWY-4981: L-proline biosynthesis II (from arginine)"
"PWY-4984: urea cycle",-5.86656350510515,1.95152515585525,-3.0161269342758,-0.858271322785239,2.32839885027367,-0.378983803651464,1.31783804559698,2.3187574057527,0.581640277171737,0.00984908652728265,0.686604245237955,0.585248515824735,0.926722657597109,1,1,"PWY-4984: urea cycle"
"PWY-5005: biotin biosynthesis II",1.30701998520028,1.38856588792538,0.996851130843423,-9.657240381176,1.65672228578461,-5.97582866983281,0.350045959233436,1.64986212262864,0.213858006515326,0.384961598810098,0.000145825697293194,0.742754303486059,1,0.0415360428499758,1,"PWY-5005: biotin biosynthesis II"
"PWY-5022: 4-aminobutanoate degradation V",1.62222228647204,1.38672995123829,1.23474337429575,-4.73330717272958,1.65453179756131,-2.87635833618981,4.94780023170065,1.64768070478891,3.02781025770109,0.263475616170772,0.0100741396502646,0.00741669336610706,1,1,1,"PWY-5022: 4-aminobutanoate degradation V"
"PWY-5030: L-histidine degradation III",5.25541921933334,0.300166805189667,17.5255246102165,-0.0460189206945556,0.358134273594669,-0.129248083922447,0.494088875914592,0.356651309570049,1.38687219678819,4.15049392265845e-13,0.889765441217749,0.185787335918378,1.32535917349423e-10,1,1,"PWY-5030: L-histidine degradation III"
"PWY-5083: NAD/NADH phosphorylation and dephosphorylation",-0.290972528381838,1.33233259011911,-0.177953922564322,-8.94613045798689,1.5896293530769,-5.81847990491649,2.14430153918876,1.58304700864102,1.39006567776847,0.782140777527635,0.000264486701706973,0.242778648034804,1,0.0559486373513081,1,"PWY-5083: NAD/NADH phosphorylation and dephosphorylation"
"PWY-5088: L-glutamate degradation VIII (to propanoate)",-8.06038666046454,1.3832997272542,-5.95032270931125,-0.91891973427949,1.65043913723522,-0.574251380850188,1.50517810096333,1.64360499136926,0.955519536993699,0.000142329276199074,0.598925823647516,0.465784599572412,0.0349814977793302,1,0.994033329228247,"PWY-5088: L-glutamate degradation VIII (to propanoate)"
"PWY-5097: L-lysine biosynthesis VI",9.76001506521173,0.182727144356058,53.5404449654454,0.111903003343793,0.218014956945804,0.514641959556564,0.208822589574185,0.217112199623154,0.964821010938309,5.09027828173234e-22,0.620578483423133,0.358428839623664,2.00282181253018e-19,1,1,"PWY-5097: L-lysine biosynthesis VI"
"PWY-5100: pyruvate fermentation to acetate and lactate II",8.43635879281924,0.170804353922691,49.554655889634,1.64766834206638,0.20378966681628,8.11150746918494,-0.284443921012323,0.202945813639525,-1.40522420074429,2.55312400744019e-21,2.07044545419117e-07,0.187157781231388,9.74083339471177e-19,7.21678074096244e-05,1,"PWY-5100: pyruvate fermentation to acetate and lactate II"
"PWY-5103: L-isoleucine biosynthesis III",9.24532139456788,0.130074335406513,71.496731504048,-0.0613903726638807,0.155193968216058,-0.399179803215902,0.447950942676439,0.154551340328499,2.91385376582387,3.50440937142568e-24,0.698595143921556,0.0119354172942139,1.44822717288607e-21,1,0.981970169100086,"PWY-5103: L-isoleucine biosynthesis III"
"PWY-5104: L-isoleucine biosynthesis IV",7.75041611556752,0.731063195558206,11.7177734127218,-16.0673218395535,0.872244305387463,-20.1231989339588,0.111826488038422,0.868632512211161,0.140500794078628,2.1115906934035e-06,6.97099652308131e-11,0.71191973818794,0.000573417589315364,2.60358959097012e-08,1,"PWY-5104: L-isoleucine biosynthesis IV"
"PWY-5121: superpathway of geranylgeranyl diphosphate biosynthesis II (via MEP)",-7.91433457955202,0.818120827459242,-10.2366612111801,15.8430890441512,0.976114291084412,17.3658618486269,-0.017562665389534,0.972072392600174,-0.0451367715570057,3.11908038619357e-07,4.73089523867156e-10,0.753187477378526,0.00010752786474208,1.67575741962365e-07,1,"PWY-5121: superpathway of geranylgeranyl diphosphate biosynthesis II (via MEP)"
"PWY-5130: 2-oxobutanoate degradation I",-9.34604910762328,1.41003737516639,-6.75813463952811,9.3955448841715,1.68234029334944,5.73250371748517,2.98777885972249,1.67537405103153,1.81002749687407,1.45208519072813e-05,0.000216378475746013,0.145496218285094,0.00459365630879401,0.050210810598133,0.999374795242275,"PWY-5130: 2-oxobutanoate degradation I"
"PWY-5136: fatty acid &beta;-oxidation II (peroxisome)",3.99946132911993,0.766800858798483,5.83219217315997,-12.1896673702526,0.914883537451915,-14.6243835617784,0.017928654098062,0.911095183550066,0.0379083146139275,0.00195513279266309,2.3525220077536e-08,0.779459416067514,0.138258132313607,8.6203982743692e-06,1,"PWY-5136: fatty acid &beta;-oxidation II (peroxisome)"
"PWY-5136: fatty acid &beta;-oxidation II (plant peroxisome)",-8.03462436854671,0.900645043111976,-9.38985906420706,12.5254955362685,1.07457537843911,12.424329836422,-0.00733525675375299,1.07012577183773,-0.081487065615219,8.42732077323272e-07,3.35358423704892e-08,0.743185111035977,0.000285733353986036,1.16987256174344e-05,1,"PWY-5136: fatty acid &beta;-oxidation II (plant peroxisome)"
"PWY-5138: unsaturated, even numbered fatty acid &beta;-oxidation",-6.97938592343353,1.33289886154568,-5.3417035039268,-0.789413511455676,1.59030498143589,-0.530543098102393,-0.453819482826609,1.58371983935504,-0.307372990538383,0.000214898461076264,0.602997814465517,0.689134642637264,0.0489346371332141,1,1,"PWY-5138: unsaturated, even numbered fatty acid &beta;-oxidation"
"PWY-5154: L-arginine biosynthesis III (via N-acetyl-L-citrulline)",6.55690584297452,0.293766639837382,22.3432710903429,0.483079965917597,0.350498124194743,1.37955812441433,-0.0981271035491628,0.349046779972197,-0.28148281427277,5.01993846439099e-15,0.187799957068221,0.783349422755636,1.66863123297051e-12,1,1,"PWY-5154: L-arginine biosynthesis III (via N-acetyl-L-citrulline)"
"PWY-5173: superpathway of acetyl-CoA biosynthesis",-2.2412732537226,1.71011367447773,-1.29724701555371,-5.29277354168951,2.04036658279519,-2.64908741456554,-1.06136352720751,2.03191782359392,-0.542659304689828,0.237049868948128,0.0359188313098114,0.61268711149296,1,0.945472336102293,1,"PWY-5173: superpathway of acetyl-CoA biosynthesis"
